0;75
1;11
2;13
3;27
4;4
5;2
6;2
7;7
8;10
9;10
10;19
11;19
12;6
13;16
14;5
15;14
16;5
17;2
18;15
19;4
20;11
21;9
22;12
23;9
24;5
25;9
26;9
27;16
28;8
29;3
30;10
31;3
32;6
33;8
34;11
35;4
36;7
37;6
38;3
39;12
40;9
41;14
42;7
43;5
44;12
45;10
46;11
47;10
48;9
49;8
50;15
51;6
52;18
53;16
54;6
55;11
56;12
57;3
58;17
59;5
60;4
61;5
62;5
63;6
64;23
65;16
66;13
67;9
68;18
69;14
70;4
71;5
72;7
73;10
74;10
75;8
76;10
77;8
78;13
79;3
80;10
81;7
82;6
83;23
84;19
85;3
86;7
87;7
88;5
89;5
90;3
91;17
92;4
93;12
94;5
95;10
96;21
97;10
98;9
99;3
100;11
101;5
102;3
103;14
104;10
105;12
106;15
107;5
108;6
109;9
110;14
111;15
112;6
113;11
114;7
115;5
116;5
117;13
118;11
119;8
120;10
121;3
122;15
123;13
124;12
125;23
126;4
127;6
128;8
129;14
130;10
131;3
132;9
133;12
134;20
135;16
136;16
137;2
138;11
139;17
140;21
141;7
142;23
143;19
144;13
145;4
146;11
147;3
148;14
149;8
150;18
151;5
152;17
153;8
154;19
155;7
156;18
157;11
158;9
159;10
160;4
161;6
162;15
163;21
164;14
165;2
166;12
167;24
168;7
169;10
170;7
171;11
172;12
173;3
174;5
175;8
176;10
177;7
178;19
179;10
180;11
181;4
182;4
183;9
184;10
185;5
186;5
187;6
188;7
189;11
190;13
191;15
192;15
193;5
194;8
195;8
196;10
197;5
198;12
199;7
200;5
201;18
202;9
203;16
204;17
205;6
206;13
207;13
208;18
209;11
210;18
211;13
212;20
213;21
214;5
215;6
216;11
217;8
218;10
219;13
220;17
221;17
222;4
223;7
224;25
225;13
226;13
227;6
228;14
229;3
230;9
231;13
232;10
233;4
234;4
235;15
236;7
237;6
238;10
239;5
240;7
241;6
242;22
243;9
244;5
245;5
246;8
247;33
248;4
249;9
250;4
251;3
252;5
253;13
254;9
255;3
256;5
257;21
258;12
259;7
260;4
261;12
262;3
263;12
264;9
265;12
266;18
267;9
268;25
269;7
270;13
271;20
272;3
273;9
274;4
275;17
276;9
277;11
278;6
279;26
280;2
281;2
282;5
283;16
284;4
285;5
286;7
287;4
288;8
289;6
290;10
291;18
292;5
293;5
294;18
295;8
296;5
297;14
298;6
299;5
300;14
301;5
302;7
303;11
304;3
305;3
306;9
307;4
308;32
309;7
310;18
311;4
312;3
313;14
314;3
315;6
316;10
317;5
318;3
319;16
320;10
321;21
322;6
323;4
324;5
325;4
326;11
327;8
328;12
329;9
330;33
331;5
332;11
333;9
334;5
335;7
336;3
337;3
338;6
339;8
340;9
341;12
342;18
343;21
344;3
345;8
346;4
347;2
348;9
349;5
350;12
351;16
352;6
353;12
354;9
355;5
356;6
357;8
358;10
359;9
360;8
361;3
362;6
363;17
364;9
365;7
366;21
367;7
368;5
369;8
370;2
371;2
372;19
373;5
374;8
375;7
376;6
377;4
378;11
379;9
380;11
381;24
382;9
383;6
384;10
385;7
386;2
387;2
388;5
389;5
390;3
391;10
392;3
393;3
394;7
395;2
396;4
397;11
398;20
399;5
400;7
401;2
402;2
403;7
404;3
405;11
406;4
407;8
408;9
409;12
410;6
411;7
412;10
413;14
414;11
415;40
416;3
417;6
418;2
419;18
420;2
421;13
422;10
423;15
424;6
425;6
426;5
427;21
428;5
429;6
430;2
431;5
432;6
433;9
434;10
435;5
436;10
437;8
438;8
439;17
440;10
441;5
442;8
443;6
444;5
445;4
446;13
447;4
448;4
449;3
450;6
451;3
452;5
453;25
454;6
455;5
456;4
457;3
458;13
459;2
460;10
461;10
462;3
463;6
464;4
465;3
466;14
467;9
468;7
469;3
470;10
471;7
472;5
473;2
474;16
475;9
476;6
477;4
478;3
479;9
480;5
481;2
482;3
483;3
484;17
485;4
486;7
487;5
488;7
489;4
490;11
491;14
492;8
493;7
494;5
495;5
496;3
497;16
498;7
499;9
500;6
501;3
502;4
503;3
504;8
505;9
506;3
507;6
508;6
509;4
510;24
511;7
512;6
513;15
514;3
515;18
516;7
517;8
518;3
519;14
520;13
521;15
522;2
523;4
524;6
525;8
526;15
527;12
528;13
529;10
530;23
